"Head","SRD","Count","Comm_freq"
15,1,10793,0.670434540906143
15,2,2808,0.563390313390313
15,3,763,0.499344692005242
15,4,83,0.0120481927710843
16,-6,20,NA
16,-5,163,NA
16,-4,990,0.0505050505050505
16,-3,3775,0.117880794701987
16,-2,9260,0.332181425485961
16,-1,18306,0.845515131650825
16,0,24972,1.18236424795771
16,1,18306,1.12498634327543
16,2,9260,0.53866090712743
16,3,3775,0.233112582781457
16,4,990,0.237373737373737
16,5,163,0.049079754601227
16,6,20,0.4
17,-11,85,NA
17,-10,1208,0.000827814569536424
17,-9,9658,0.000621246634914061
17,-8,64987,0.0014926062135504
17,-7,318713,0.00141506621945136
17,-6,972912,0.00328806716332001
17,-5,1959730,0.00417812657866135
17,-4,3289605,0.00508571697817824
17,-3,4729428,0.00796206221978639
17,-2,6189158,0.0165403759283573
17,-1,7176537,0.050660645935498
17,0,7729558,0.0990222209342369
17,1,7176537,0.0522759096762127
17,2,6189158,0.0191253802213483
17,3,4729428,0.0104585586248485
17,4,3289605,0.00720572834732438
17,5,1959730,0.00615186785934798
17,6,972912,0.00499325735523871
17,7,318713,0.00456837342687622
17,8,64987,0.00430855401849601
17,9,9658,0.00300269206875129
17,10,1208,NA
17,11,85,NA
18,-10,82,NA
18,-9,1294,0.00154559505409583
18,-8,7286,0.0131759538841614
18,-7,19652,0.0426928556889884
18,-6,30221,0.0738559279970881
18,-5,35886,0.130552304519868
18,-4,51418,0.105293865961336
18,-3,82195,0.119836973051889
18,-2,103449,0.179093079681776
18,-1,130298,0.455325484658245
18,0,162202,0.691810211957929
18,1,130298,0.41869407051528
18,2,103449,0.233487032257441
18,3,82195,0.15809964109739
18,4,51418,0.157940798942005
18,5,35886,0.184250125397091
18,6,30221,0.0963899275338341
18,7,19652,0.0762772236922451
18,8,7286,0.0573702992039528
18,9,1294,0.00231839258114374
18,10,82,NA
19,-6,3,NA
19,-5,54,NA
19,-4,350,0.0428571428571429
19,-3,1683,0.0855614973262032
19,-2,5653,0.341234742614541
19,-1,11452,1.15141460006986
19,0,14510,1.71509303928325
19,1,11452,1.31400628711142
19,2,5653,0.516539890323722
19,3,1683,0.417112299465241
19,4,350,1.10571428571429
19,5,54,0.796296296296296
19,6,3,NA
20,-6,5,NA
20,-5,60,NA
20,-4,393,0.0279898218829517
20,-3,2238,0.0759606791778374
20,-2,6901,0.31633096652659
20,-1,14727,0.717050315746588
20,0,42556,1.13424663972178
20,1,14727,0.756433761119033
20,2,6901,0.228372699608752
20,3,2238,0.0969615728328865
20,4,393,0.0712468193384224
20,5,60,NA
20,6,5,NA
21,-6,11,NA
21,-5,1140,NA
21,-4,13558,0.00575306092344004
21,-3,71064,0.0123128447596533
21,-2,361817,0.0276327535743207
21,-1,1120172,0.0547228461343436
21,0,1806205,0.0859952220262927
21,1,1120172,0.0715363354913353
21,2,361817,0.0563019426947877
21,3,71064,0.0786614882359563
21,4,13558,0.143974037468653
21,5,1140,1.3640350877193
21,6,11,NA
22,-9,23,NA
22,-8,117,NA
22,-7,552,NA
22,-6,3174,NA
22,-5,13084,0.00428003668602874
22,-4,39666,0.0106640447738617
22,-3,104398,0.0292917488840782
22,-2,312876,0.0677073345350874
22,-1,698451,0.168968188176408
22,0,935039,0.394023137002842
22,1,698451,0.193241902438396
22,2,312876,0.0940947851545021
22,3,104398,0.0424816567367191
22,4,39666,0.0279332425755055
22,5,13084,0.0171201467441149
22,6,3174,0.000630119722747322
22,7,552,NA
22,8,117,NA
22,9,23,NA
23,-7,8,NA
23,-6,158,NA
23,-5,1285,0.0046692607003891
23,-4,9209,0.0357259202953632
23,-3,56096,0.030501283513976
23,-2,280029,0.0491913337547183
23,-1,757869,0.10033000426195
23,0,2547453,0.0981670711883595
23,1,757869,0.133220912849054
23,2,280029,0.0811951619296573
23,3,56096,0.107975613234455
23,4,9209,0.112824410902378
23,5,1285,0.0116731517509728
23,6,158,NA
23,7,8,NA
24,-6,47,NA
24,-5,1441,0.00277585010409438
24,-4,15048,0.0100345560871877
24,-3,100471,0.0254501298882265
24,-2,457072,0.0446778625686982
24,-1,1643928,0.0689561829958489
24,0,2565302,0.105984012798493
24,1,1643928,0.096534641419819
24,2,457072,0.110439930689257
24,3,100471,0.116809825720855
24,4,15048,0.176169590643275
24,5,1441,0.419847328244275
24,6,47,0.0425531914893617
25,-11,37,NA
25,-10,535,NA
25,-9,3380,NA
25,-8,16995,NA
25,-7,62505,0.00443164546836253
25,-6,146513,0.00883880611276815
25,-5,222940,0.0151655153853055
25,-4,300888,0.0194391268511872
25,-3,503691,0.0351465481813255
25,-2,1286583,0.0596385930794982
