"Head","RD","Count","Comm_freq"
24,1,5290,15.1750472589792
24,2,25012,4.65456580841196
24,3,40312,1.47911291923001
24,4,111722,0.765444585667997
24,5,224422,0.305228542656246
24,6,559376,0.140281313463574
24,7,1057336,0.0548851074776608
24,8,2023354,0.0294357784154429
24,9,2097132,0.00975856550755985
24,10,786144,0.00714754548784955
24,11,67188,0.000863249389771983
24,12,1382,NA
25,0,3821,NA
25,1,7640,19.3645287958115
25,2,44494,5.71335460961028
25,3,59094,1.98402545097641
25,4,172662,0.793926862888186
25,5,343448,0.315803265705434
25,6,805928,0.150927874450323
25,7,1511480,0.0742021065445788
25,8,2378958,0.053537725340254
25,9,3103582,0.0513819193435199
25,10,2820772,0.0363666400545666
25,11,1474340,0.0198454901854389
25,12,577716,0.00593544232806431
25,13,395392,0.00200813370022661
25,14,407150,0.00136804617462852
25,15,294596,0.00310934296460237
25,16,157584,0.0110100010153315
25,17,36808,0.00643881764833732
25,18,4280,0.0226635514018692
25,19,296,NA
26,0,1976,NA
26,1,3950,18.5579746835443
26,2,30052,3.86024224677226
26,3,29328,1.70536688488816
26,4,96978,0.773206294211058
26,5,228980,0.224609136169098
26,6,543148,0.101095833916354
26,7,1047560,0.0453978769712475
26,8,1383048,0.0260077741336526
26,9,413876,0.0161449322985629
26,10,104856,0.00829709315632868
26,11,18346,5.45077946146299e-05
26,12,2182,NA
26,13,296,NA
27,0,1352,NA
27,1,2702,15.5185048112509
27,2,43472,1.80727824806772
27,3,34072,0.715778351725757
27,4,77130,0.440710488785168
27,5,140276,0.17017879038467
27,6,364160,0.0855008787346221
27,7,546846,0.031893805568661
27,8,410012,0.0222993473361755
27,9,152658,0.00434959189823003
27,10,39014,0.0117906392577024
27,11,11860,0.0223440134907251
27,12,4350,NA
28,0,3626,NA
28,1,7250,16.8222068965517
28,2,43108,5.47779994432588
28,3,61912,1.36934681483396
28,4,186882,0.567181429993258
28,5,411766,0.204465643107979
28,6,1057578,0.0916149919911345
28,7,2173964,0.0421432921612318
28,8,4057022,0.0270050297977186
28,9,3342098,0.00941474486983925
28,10,1368628,0.00452643084899622
28,11,372716,0.00502527393511413
28,12,56670,0.00296453149814717
28,13,4520,0.0174778761061947
28,14,136,NA
29,0,1103,NA
29,1,2204,20.5195099818512
29,2,25692,3.40335513000156
29,3,17138,1.64324892052748
29,4,62578,0.605292594841638
29,5,73780,0.341854161019246
29,6,190500,0.184488188976378
29,7,266922,0.093843894471044
29,8,368806,0.0515745405443512
29,9,178612,0.0286262961055248
29,10,28446,0.014553891584054
29,11,828,0.0495169082125604
30,0,1487,NA
30,1,2972,3.17563930013459
30,2,15334,1.05960610408243
30,3,25050,0.177365269461078
30,4,71926,0.0612991129772266
30,5,173010,0.0230391306860875
30,6,375180,0.010714856868703
30,7,591820,0.00658815180291305
30,8,578372,0.00321765230681983
30,9,279508,0.00228973768192681
30,10,81120,0.00112179487179487
30,11,14984,0.000266951414842499
30,12,406,NA
31,0,1707,NA
31,1,3412,17.2951348182884
31,2,46756,3.35197621695611
31,3,26592,1.70603941034898
31,4,63524,0.773581638435867
31,5,125224,0.283300325816138
31,6,273070,0.163503863478229
31,7,459172,0.061214533987264
31,8,685988,0.0435619865070526
31,9,697710,0.0296326554012412
31,10,350868,0.013138844237719
31,11,140340,0.00549380076955964
31,12,35416,0.00632482493788118
31,13,3370,NA
31,14,700,0.00142857142857143
32,0,3076,NA
32,1,6150,23.8691056910569
32,2,40686,4.45477559848597
32,3,57844,1.55397275430468
32,4,164942,0.643583805216379
32,5,400034,0.247321477674398
32,6,924912,0.0938132492604702
32,7,1693052,0.0330172965744703
32,8,2296518,0.0127749924015401
32,9,2071602,0.00671074849319512
32,10,1305706,0.00588723648355756
32,11,444758,0.00263514090808934
32,12,50150,0.000538384845463609
32,13,2336,NA
32,14,10,NA
33,0,1010,NA
33,1,2018,20.3250743310208
33,2,17526,6.09386055003994
33,3,15864,1.86932677760968
33,4,34046,0.959231627797685
33,5,62598,0.250774785136905
33,6,101586,0.127655385584628
33,7,157962,0.0826211367290867
33,8,195964,0.0450490906493029
33,9,198682,0.0301134476198146
33,10,141864,0.0168823662098912
33,11,71852,0.0351416801202472
33,12,18392,0.0601892127011744
33,13,736,0.00135869565217391
34,0,715,NA
34,1,1428,20.937675070028
34,2,6938,7.16344767944653
34,3,10994,1.64889939967255
34,4,24650,0.532494929006085
34,5,49868,0.174440522980669
34,6,92472,0.0873886149320875
34,7,132480,0.0643719806763285
34,8,118312,0.0411454459395497
34,9,58144,0.0441490093560815
34,10,13558,0.0461720017701726
34,11,1594,0.00125470514429109
34,12,72,NA
35,0,460,NA
35,1,918,10.7091503267974
35,2,13040,3.43305214723926
35,3,10456,0.782995409334354
35,4,26142,0.304108331420702
35,5,21950,0.291708428246014
35,6,31074,0.0949024908283452
35,7,31390,0.145587766804715
35,8,35586,0.0844152194683302
35,9,40364,0.0336438410464771
35,10,220,NA
36,0,282,NA
36,1,562,38.1565836298932
36,2,2188,9.75776965265082
36,3,3444,3.03774680603949
36,4,7592,1.31678082191781
36,5,11344,0.71632581100141
36,6,15100,0.662980132450331
36,7,17048,0.509502580947912
36,8,13794,0.379585326953748
