"Head","DRD","Count","Comm_freq"
14,-4,1065,0.862910798122066
14,-3,1123,2.36509349955476
14,-2,217,4.5668202764977
14,-1,222,25.545045045045
14,0,15093,NA
14,1,222,29.536036036036
14,2,217,6.37327188940092
14,3,1123,2.61353517364203
14,4,1065,2.33896713615023
14,5,4399,0.435553534894294
14,6,2125,0.0804705882352941
14,7,5263,0.0989929697890937
14,8,1026,0.0165692007797271
14,9,1215,0.00493827160493827
14,10,663,NA
15,-7,5168,0.19233746130031
15,-6,1407,0.122245913290689
15,-5,4961,0.491433178794598
15,-4,1278,0.355242566510172
15,-3,1213,1.11376751854905
15,-2,206,2.14077669902913
15,-1,214,12.2009345794393
15,0,17331,NA
15,1,214,12.5514018691589
15,2,206,2.85922330097087
15,3,1213,1.3116240725474
15,4,1278,0.490610328638498
15,5,4961,0.494255190485789
15,6,1407,0.260838663823738
15,7,5168,0.171826625386997
16,-11,20,NA
16,-10,1380,NA
16,-9,3375,0.0471111111111111
16,-8,3082,0.0298507462686567
16,-7,11083,0.16665162862041
16,-6,4059,0.15619610741562
16,-5,5875,0.480170212765957
16,-4,1457,0.812628689087165
16,-3,1592,2.16708542713568
16,-2,292,4.16438356164384
16,-1,299,25.5719063545151
16,0,24972,NA
16,1,299,38.7759197324415
16,2,292,8.23630136986301
16,3,1592,3.0358040201005
16,4,1457,1.29306794783802
16,5,5875,0.566297872340426
16,6,4059,0.174180832717418
16,7,11083,0.132003970044212
16,8,3082,0.0759247242050616
16,9,3375,0.0785185185185185
16,10,1380,0.00072463768115942
16,11,20,NA
17,-21,21464,NA
17,-20,48299,0.000393382885774033
17,-19,294866,9.49583878778835e-05
17,-18,392919,0.000180698820876567
17,-17,982104,0.00101720388064808
17,-16,1044375,0.000856971873129863
17,-15,2071117,0.00220509029668531
17,-14,2515662,0.00266768747152837
17,-13,3546537,0.00726793488972484
17,-12,2960101,0.00469646137074377
17,-11,3637202,0.00626965453114784
17,-10,2337917,0.00668757701834581
17,-9,2403135,0.011345596481263
17,-8,908266,0.0151695648631568
17,-7,922049,0.0416669829911425
17,-6,248891,0.0828876897919169
17,-5,244201,0.234368409629772
17,-4,53889,0.465549555567927
17,-3,63917,1.49827119545661
17,-2,7551,3.39941729572242
17,-1,7559,18.1258102923667
17,0,7729558,NA
17,1,7559,17.2267495700489
17,2,7551,3.43477685074825
17,3,63917,1.53192421421531
17,4,53889,0.53708549054538
17,5,244201,0.258082481234721
17,6,248891,0.109762908261046
17,7,922049,0.0468120457806472
17,8,908266,0.0204125223227557
17,9,2403135,0.0142692774230328
17,10,2337917,0.00696089724314422
17,11,3637202,0.0102405640379611
17,12,2960101,0.00557176934165422
17,13,3546537,0.00686331483359684
17,14,2515662,0.00457295137423072
17,15,2071117,0.00338609552236788
17,16,1044375,0.00191980849790545
17,17,982104,0.000905199449345487
17,18,392919,0.000460654740544489
17,19,294866,0.000213656372725238
17,20,48299,0.000351974160955713
17,21,21464,NA
18,-15,492,NA
18,-14,4156,0.0021655437921078
18,-13,23154,0.032866891249892
18,-12,32320,0.0548886138613861
18,-11,61021,0.0765638059028859
18,-10,85302,0.0842535931162224
18,-9,94597,0.114147383109401
18,-8,45333,0.119956764387973
18,-7,60841,0.158051314080965
18,-6,18651,0.191142566082248
18,-5,22120,0.366862567811935
18,-4,5666,0.58648076244264
18,-3,6059,2.0067667932002
18,-2,1028,4.8375486381323
18,-1,1041,27.4572526416907
18,0,162202,NA
18,1,1041,22.0941402497598
18,2,1028,5.48540856031128
18,3,6059,1.79022941079386
18,4,5666,0.560007059654077
18,5,22120,0.397287522603978
18,6,18651,0.162028845638304
18,7,60841,0.160944100195592
18,8,45333,0.216663357818807
18,9,94597,0.15800712496168
18,10,85302,0.136046048158308
18,11,61021,0.105766867144098
18,12,32320,0.0709467821782178
18,13,23154,0.079295154185022
18,14,4156,0.012512030798845
18,15,492,NA
19,-10,132,0.424242424242424
19,-9,1863,0.161030595813205
19,-8,1962,0.0983690112130479
19,-7,4828,0.149544324772162
19,-6,2314,0.108902333621435
19,-5,4649,0.340503334050333
19,-4,1374,0.414847161572052
19,-3,1620,2.31666666666667
19,-2,224,3.89732142857143
19,-1,229,30.4454148471616
19,0,14510,NA
19,1,229,35.7336244541485
19,2,224,5.86607142857143
19,3,1620,2.66481481481481
19,4,1374,0.895924308588064
19,5,4649,0.454076145407615
19,6,2314,0.259291270527226
19,7,4828,0.198218724109362
19,8,1962,0.0749235474006116
19,9,1863,0.120772946859903
19,10,132,0.113636363636364
20,-11,85,NA
20,-10,10,NA
20,-9,798,0.0325814536340852
20,-8,3303,0.00484408113835907
20,-7,3527,0.185426708250638
20,-6,2050,0.122439024390244
20,-5,10379,0.232585027459293
20,-4,1643,0.811320754716981
20,-3,1935,1.16279069767442
20,-2,293,2.02730375426621
20,-1,301,17.8936877076412
20,0,42556,NA
20,1,301,17.1694352159468
20,2,293,2.25255972696246
20,3,1935,1.3922480620155
20,4,1643,0.41631162507608
20,5,10379,0.295885923499374
20,6,2050,0.121951219512195
20,7,3527,0.114261411964843
20,8,3303,0.00302755071147442
20,9,798,0.0263157894736842
20,10,10,NA
20,11,85,NA
21,-11,308,NA
21,-10,4719,NA
21,-9,449021,0.00436505196861617
21,-8,210302,0.00449829293111811
21,-7,569707,0.0197031105462984
21,-6,135565,0.0196068306716335
21,-5,147682,0.07721320133801
21,-4,22590,0.124391323594511
21,-3,23436,0.627965523126813
21,-2,2210,1.65701357466063
21,-1,2222,10.2920792079208
21,0,1806205,NA
21,1,2222,14.0805580558056
21,2,2210,3.12171945701357
21,3,23436,0.882915173237754
21,4,22590,0.28614431164232
21,5,147682,0.107447082244282
21,6,135565,0.0483310589016339
21,7,569707,0.027912593666569
21,8,210302,0.0114502001883006
21,9,449021,0.00785932061084003
21,10,4719,NA
21,11,308,NA
22,-15,2507,NA
22,-14,14524,0.000275406224180667
22,-13,16231,NA
22,-12,55555,NA
22,-11,269390,0.00104309736812799
22,-10,118736,0.0012464627408705
22,-9,234016,0.00942670586626555
22,-8,104542,0.0179545063228176
22,-7,222109,0.123754552944725
22,-6,48223,0.116915164962777
22,-5,57889,0.422636424882102
22,-4,12448,0.575674807197943
22,-3,12556,2.13571201019433
22,-2,1805,3.75290858725762
22,-1,1810,22.0298342541436
22,0,935039,NA
22,1,1810,27.0845303867403
22,2,1805,6.36620498614958
22,3,12556,2.48956674100032
22,4,12448,0.740841902313625
22,5,57889,0.477102731088808
22,6,48223,0.146838645459635
22,7,222109,0.134127838133529
22,8,104542,0.0246025520843297
